row_index,Drug name,Drug MW (Dalton),MN Length (mm),Permeation time (hour),fick_proxy_diffusion_um2_min,fick_proxy_residual_skin_mm,fick_proxy_fraction,predicted_permeation_percentage,predicted_permeation_amount_ug_cm2
22,BSA,66000.0,0.82,24.0,106.79039757319296,0.18000000000000005,0.7455055262472079,74.5505526247208,1011.6509991174611
23,BSA,66000.0,0.82,30.0,106.79039757319296,0.18000000000000005,0.7715825882242144,77.15825882242144,838.7102733997211
24,BSA,66000.0,0.82,30.0,106.79039757319296,0.18000000000000005,0.7715825882242144,77.15825882242144,1263.080696923039
25,BSA,66000.0,0.82,30.0,106.79039757319296,0.18000000000000005,0.7715825882242144,77.15825882242144,1047.0375722202589
26,BSA,66000.0,0.82,42.0,106.79039757319296,0.18000000000000005,0.8061832212955026,80.61832212955025,428.08329050791184
27,BSA,66000.0,0.82,42.0,106.79039757319296,0.18000000000000005,0.8061832212955026,80.61832212955025,876.3211615482113
28,BSA,66000.0,0.82,42.0,106.79039757319296,0.18000000000000005,0.8061832212955026,80.61832212955025,1319.7219332607376
29,BSA,66000.0,0.82,42.0,106.79039757319296,0.18000000000000005,0.8061832212955026,80.61832212955025,1093.990631297997
30,BSA,66000.0,0.82,48.0,106.79039757319296,0.18000000000000005,0.8184751986498526,81.84751986498526,889.6825409323898
31,BSA,66000.0,0.82,48.0,106.79039757319296,0.18000000000000005,0.8184751986498526,81.84751986498526,1339.8439001898087
32,BSA,66000.0,0.82,48.0,106.79039757319296,0.18000000000000005,0.8184751986498526,81.84751986498526,1110.67084456785
33,lidocaine,234.34,0.889,0.083333333,700.0,0.11099999999999999,0.1846066970214173,18.46066970214173,13095.999086699343
34,lidocaine,234.34,0.889,0.083333333,700.0,0.11099999999999999,0.1846066970214173,18.46066970214173,13095.999086699343
35,lidocaine,234.34,0.889,0.083333333,700.0,0.11099999999999999,0.1846066970214173,18.46066970214173,13095.999086699343
36,lidocaine,234.34,0.889,0.166666667,700.0,0.11099999999999999,0.3481821169357465,34.81821169357465,24700.039375421857
