row_index,drug_name,observed_permeation_amount_ug_cm2,Drug loading in MN patch (µg),Drug MW (Dalton),MN Length (mm),Skin type (rat =1; human = 2),MN type (hydrogel =1; plastic = 2),MN surface area (mm2),Permeation time (hour)
53,lidocaine,3555.688395,5156.0986328125,-30.076526641845703,-4.985894203186035,36.69436264038086,0.0,-1.2706427574157715,-4149.08056640625
54,lidocaine,1895.431377,2112.73291015625,-35.48548126220703,-7.268228054046631,37.93971252441406,0.0,-2.0572121143341064,-2319.59228515625
55,lidocaine,1554.763163,2112.73291015625,-35.48548126220703,-7.268228054046631,37.93971252441406,0.0,-2.0572121143341064,-2319.59228515625
56,lidocaine,2482.766544,2112.73291015625,-35.48548126220703,-7.268228054046631,37.93971252441406,0.0,-2.0572121143341064,-2319.59228515625
57,lidocaine,4311.902742,5758.7333984375,-29.4860782623291,-5.4493913650512695,36.835453033447266,0.0,-1.7349891662597656,-3197.50732421875
58,lidocaine,5205.483748,5758.7333984375,-29.4860782623291,-5.4493913650512695,36.835453033447266,0.0,-1.7349891662597656,-3197.50732421875
59,lidocaine,5938.678996,6471.1103515625,-30.661832809448242,-5.338544845581055,36.835453033447266,0.0,-1.7349891662597656,-2325.088134765625
60,lidocaine,6733.651992,6471.1103515625,-30.661832809448242,-5.338544845581055,36.835453033447266,0.0,-1.7349891662597656,-2325.088134765625
61,lidocaine,4001.849144,2655.151611328125,-35.90983200073242,-7.438403129577637,45.370784759521484,0.0,-2.188595771789551,-1268.192626953125
62,lidocaine,3177.324831,2655.151611328125,-35.90983200073242,-7.438403129577637,45.370784759521484,0.0,-2.188595771789551,-1268.192626953125
63,lidocaine,7739.876585,7150.8916015625,-23.99214744567871,-5.015149116516113,41.88001251220703,0.0,-1.4220563173294067,-1250.815185546875
64,lidocaine,8482.669584,7150.8916015625,-23.99214744567871,-5.015149116516113,41.88001251220703,0.0,-1.4220563173294067,-1250.815185546875
65,lidocaine,1238.213787,112.36158752441406,-32.740074157714844,-5.006397724151611,41.95365905761719,0.0,-2.03680157661438,-1094.5157470703125
66,lidocaine,1193.647249,112.36158752441406,-32.740074157714844,-5.006397724151611,41.95365905761719,0.0,-2.03680157661438,-1094.5157470703125
67,lidocaine,4394.183075,2846.7236328125,-32.54499435424805,-4.950951099395752,50.025856018066406,0.0,-2.2684104442596436,-682.1299438476562
68,lidocaine,4385.405754,2846.7236328125,-32.54499435424805,-4.950951099395752,50.025856018066406,0.0,-2.2684104442596436,-682.1299438476562
69,lidocaine,4325.511402,2846.7236328125,-32.54499435424805,-4.950951099395752,50.025856018066406,0.0,-2.2684104442596436,-682.1299438476562
70,lidocaine,12991.86928,9475.4521484375,-25.184844970703125,-4.39000129699707,46.252017974853516,0.0,-1.0799453258514404,1950.6466064453125
71,lidocaine,14274.00249,9475.4521484375,-25.184844970703125,-4.39000129699707,46.252017974853516,0.0,-1.0799453258514404,1950.6466064453125
72,lidocaine,3771.758529,670.8213500976562,-25.89932632446289,-3.445404291152954,46.591064453125,0.0,-0.44907325506210327,340.8502502441406
73,lidocaine,2418.211041,670.8213500976562,-25.89932632446289,-3.445404291152954,46.591064453125,0.0,-0.44907325506210327,340.8502502441406
74,lidocaine,3482.985285,670.8213500976562,-25.89932632446289,-3.445404291152954,46.591064453125,0.0,-0.44907325506210327,340.8502502441406
75,lidocaine,7033.95717,3417.914794921875,-25.200265884399414,-3.389957904815674,54.66326141357422,0.0,-0.4891611933708191,765.9677124023438
76,lidocaine,6277.653062,3417.914794921875,-25.200265884399414,-3.389957904815674,54.66326141357422,0.0,-0.4891611933708191,765.9677124023438
77,lidocaine,5923.531283,3417.914794921875,-25.200265884399414,-3.389957904815674,54.66326141357422,0.0,-0.4891611933708191,765.9677124023438
78,lidocaine,19622.03687,12221.466796875,-30.739425659179688,-6.907868385314941,49.8714599609375,0.0,-3.1031391620635986,6055.6318359375
