Drug name,Drug loading in MN patch (µg),Drug MW (Dalton),MN Length (mm),Skin type (rat =1; human = 2),MN type (hydrogel =1; plastic = 2),MN surface area (mm2),Permeation time (hour),Drug permeation percentage,Drug permeation amounts (µg/cm2),References,smiles,is_small_molecule,LogP,TPSA,HBD,HBA,RotB,NumRings,NumAromaticRings,FractionCSP3,MolarRefractivity,NumHeteroatoms
lidocaine,50592.0,234.34,0.889,1,1,32.12727744,6.0,4.7798289,2418.211041,,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C,True,2.5837400000000006,32.34,1,2,5,1,1,0.5,72.33370000000004,3
lidocaine,50592.0,234.34,0.889,1,1,32.12727744,6.0,6.8844586,3482.985285,,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C,True,2.5837400000000006,32.34,1,2,5,1,1,0.5,72.33370000000004,3
lidocaine,27024.0,234.34,0.889,1,1,32.12727744,6.0,26.0285567,7033.95717,,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C,True,2.5837400000000006,32.34,1,2,5,1,1,0.5,72.33370000000004,3
lidocaine,27024.0,234.34,0.889,1,1,32.12727744,6.0,23.2299181,6277.653062,,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C,True,2.5837400000000006,32.34,1,2,5,1,1,0.5,72.33370000000004,3
lidocaine,27024.0,234.34,0.889,1,1,32.12727744,6.0,21.9195207,5923.531283,,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C,True,2.5837400000000006,32.34,1,2,5,1,1,0.5,72.33370000000004,3
lidocaine,70940.0,234.34,0.889,1,1,32.12727744,19.5,27.6600463,19622.03687,,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C,True,2.5837400000000006,32.34,1,2,5,1,1,0.5,72.33370000000004,3
lidocaine,70940.0,234.34,0.889,1,1,32.12727744,19.5,30.0873734,21343.98269,,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C,True,2.5837400000000006,32.34,1,2,5,1,1,0.5,72.33370000000004,3
lidocaine,27024.0,234.34,0.889,1,1,32.12727744,20.0,34.0816817,9210.233657,,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C,True,2.5837400000000006,32.34,1,2,5,1,1,0.5,72.33370000000004,3
lidocaine,27024.0,234.34,0.889,1,1,32.12727744,20.0,34.6172156,9354.956357,,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C,True,2.5837400000000006,32.34,1,2,5,1,1,0.5,72.33370000000004,3
lidocaine,50592.0,234.34,0.889,1,1,32.12727744,21.0,16.7655732,8482.038772,,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C,True,2.5837400000000006,32.34,1,2,5,1,1,0.5,72.33370000000004,3
lidocaine,50592.0,234.34,0.889,1,1,32.12727744,21.0,14.5749793,7373.773512,,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C,True,2.5837400000000006,32.34,1,2,5,1,1,0.5,72.33370000000004,3
lidocaine,50592.0,234.34,0.889,1,1,32.12727744,21.0,16.2430834,8217.700744,,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C,True,2.5837400000000006,32.34,1,2,5,1,1,0.5,72.33370000000004,3
lidocaine,70940.0,234.34,0.889,1,1,32.12727744,24.0,31.5933219,22412.30259,,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C,True,2.5837400000000006,32.34,1,2,5,1,1,0.5,72.33370000000004,3
lidocaine,70940.0,234.34,0.889,1,1,32.12727744,24.0,34.1279637,24210.37745,,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C,True,2.5837400000000006,32.34,1,2,5,1,1,0.5,72.33370000000004,3
lidocaine,70940.0,234.34,0.889,1,1,32.12727744,24.0,40.8934142,29009.78801,,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C,True,2.5837400000000006,32.34,1,2,5,1,1,0.5,72.33370000000004,3
lidocaine,50592.0,234.34,0.889,1,1,32.12727744,24.0,20.6770156,10460.91572,,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C,True,2.5837400000000006,32.34,1,2,5,1,1,0.5,72.33370000000004,3
lidocaine,50592.0,234.34,0.889,1,1,32.12727744,24.0,16.2169387,8204.473607,,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C,True,2.5837400000000006,32.34,1,2,5,1,1,0.5,72.33370000000004,3
lidocaine,50592.0,234.34,0.889,1,1,32.12727744,24.0,18.9082354,9566.054457,,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C,True,2.5837400000000006,32.34,1,2,5,1,1,0.5,72.33370000000004,3
lidocaine,27024.0,234.34,0.889,1,1,32.12727744,24.0,47.967593,12962.76232,,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C,True,2.5837400000000006,32.34,1,2,5,1,1,0.5,72.33370000000004,3
lidocaine,27024.0,234.34,0.889,1,1,32.12727744,24.0,38.909355,10514.86409,,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C,True,2.5837400000000006,32.34,1,2,5,1,1,0.5,72.33370000000004,3
lidocaine,27024.0,234.34,0.889,1,1,32.12727744,24.0,41.6449883,11254.14165,,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C,True,2.5837400000000006,32.34,1,2,5,1,1,0.5,72.33370000000004,3
Rhodamine B,50.0,479.02,1.25,1,1,29.96883853,6.0,5.7050696,2.852534781,"Kochhar JS, Goh WJ, Chan SY, Kang L. A simple method of microneedle array fabrication for transdermal drug delivery. Drug Dev Ind Pharm. 2013;39:299-309.",CCN(CC)C1=CC2=C(C=C1)C(=C3C=CC(=[N+](CC)CC)C=C3O2)C4=CC=CC=C4C(=O)O.[Cl-],True,2.5649999999999995,56.69,1,3,7,4,2,0.2857142857142857,135.14329999999998,6
Rhodamine B,50.0,479.02,1.25,1,1,29.96883853,6.0,6.3970482,3.19852408,,CCN(CC)C1=CC2=C(C=C1)C(=C3C=CC(=[N+](CC)CC)C=C3O2)C4=CC=CC=C4C(=O)O.[Cl-],True,2.5649999999999995,56.69,1,3,7,4,2,0.2857142857142857,135.14329999999998,6
Rhodamine B,50.0,479.02,1.25,1,1,29.96883853,6.0,4.7132336,2.356616786,,CCN(CC)C1=CC2=C(C=C1)C(=C3C=CC(=[N+](CC)CC)C=C3O2)C4=CC=CC=C4C(=O)O.[Cl-],True,2.5649999999999995,56.69,1,3,7,4,2,0.2857142857142857,135.14329999999998,6
Rhodamine B,50.0,479.02,1.25,1,1,29.96883853,16.0,9.4676039,4.73380197,,CCN(CC)C1=CC2=C(C=C1)C(=C3C=CC(=[N+](CC)CC)C=C3O2)C4=CC=CC=C4C(=O)O.[Cl-],True,2.5649999999999995,56.69,1,3,7,4,2,0.2857142857142857,135.14329999999998,6
Rhodamine B,50.0,479.02,1.25,1,1,29.96883853,16.0,9.5060472,4.753023597,,CCN(CC)C1=CC2=C(C=C1)C(=C3C=CC(=[N+](CC)CC)C=C3O2)C4=CC=CC=C4C(=O)O.[Cl-],True,2.5649999999999995,56.69,1,3,7,4,2,0.2857142857142857,135.14329999999998,6
