strategy,n_train,r2_mean,r2_std,rmse_mean,rmse_std
RF-QBC,15,0.5861908357211029,0.13596941818042088,0.7243157821000439,0.11882135042660955
RF-QBC,18,0.5965158488583706,0.22322184995242716,0.7016108248888833,0.1682171599224376
RF-QBC,21,0.5734409872654052,0.21317006269988478,0.722982385724545,0.17229831721194153
RF-QBC,24,0.6567087107676635,0.12683000032885444,0.6568490388856718,0.12287678489436053
RF-QBC,27,0.662754257519248,0.14069531092772608,0.647482005586643,0.13738280389218221
RF-QBC,30,0.752178833546452,0.11241409188455394,0.5543162913678064,0.11127756914000432
RF-QBC,33,0.7663453641584088,0.11534813571062354,0.5360430093566289,0.11936276863647768
RF-QBC,36,0.8163194059285382,0.06111962336718442,0.48292188959067267,0.06639570309476525
RF-QBC,39,0.8145401685731996,0.056464779612670137,0.4860500240861194,0.06350666329004717
RF-QBC,42,0.8411894881038784,0.03789030363911775,0.45182914362078447,0.04692139059964696
RF-QBC,45,0.8523161976774153,0.05047208558767593,0.4319553627580084,0.06771150309560378
RF-QBC,48,0.8589717393076324,0.052751626353043424,0.42082320634149833,0.07293777027609406
RF-QBC,51,0.8888617196861727,0.0340533669876943,0.37689781836704606,0.057648715252661346
RF-QBC,54,0.894299193899298,0.03770205948024552,0.36616829701611675,0.06472404205949711
RF-QBC,57,0.9001265959834349,0.04104766411479124,0.35456813135496745,0.0697889325718474
RF-QBC,60,0.9055767306367235,0.041685664511264674,0.34349018595558223,0.07379572562711827
RF-QBC,63,0.9129310995049014,0.030620307689619625,0.33233780394826684,0.05696890419014605
RF-QBC,66,0.9180197268767192,0.03872368974341088,0.3183820313534367,0.07398426203023972
RF-QBC,69,0.9360881099872069,0.025368210045727157,0.2825641999778957,0.04709989925216867
RF-QBC,72,0.938762983693505,0.025685938323256614,0.2760856650261321,0.04840817156041949
RF-QBC,75,0.9400251132848563,0.027316301687598497,0.272154687533018,0.05039332807605375
RF-QBC,78,0.9419963976806189,0.03105393704892672,0.2655287357881324,0.058028099003215136
RF-QBC,81,0.9493018544448933,0.019135881432120735,0.25193700279392084,0.042412062802137454
RF-QBC,84,0.9525077714061407,0.017768920986320793,0.24426193165911503,0.040340184615432144
RF-QBC,87,0.9548243063446324,0.018405050130549855,0.2372751848199602,0.043186587933190225
RF-QBC,90,0.9578186364874537,0.020506378661464788,0.22815126099389776,0.04935980355759544
RF-QBC,93,0.9578565133569257,0.020773723401523007,0.22772501678664742,0.050604126617997555
RF-QBC,96,0.9679546226246354,0.01223881196521234,0.20114195861850379,0.03721833068814087
RF-QBC,99,0.9679491386853153,0.01298318121109201,0.20101195191244486,0.04081622799861169
RF-QBC,102,0.9708606917274242,0.010182352797615158,0.1923705722331009,0.031837190945468906
RF-QBC,105,0.9722209197898476,0.009855378974707911,0.18789060240513192,0.03011157857999715
RF-QBC,108,0.9757591434782796,0.0076855979914908995,0.1759700170764384,0.025940825505749915
RF-QBC,111,0.978567050103105,0.004697187246366504,0.16662981395677512,0.020002766790768012
RF-QBC,114,0.9783252292622528,0.005480013427339037,0.16730795060708264,0.02274774489137083
RF-QBC,117,0.9796399598173242,0.005183787331418376,0.16203649575246065,0.021056601803213382
