Drug name,Drug loading in MN patch (µg),Drug MW (Dalton),MN Length (mm),Skin type (rat =1; human = 2),MN type (hydrogel =1; plastic = 2),MN surface area (mm2),Permeation time (hour),Drug permeation percentage,Drug permeation amounts (µg/cm2),References
lidocaine,50592.0,234.34,0.889,1,1,32.12727744,21.0,14.5749793,7373.773512,
lidocaine,50592.0,234.34,0.889,1,1,32.12727744,21.0,16.2430834,8217.700744,
lidocaine,70940.0,234.34,0.889,1,1,32.12727744,24.0,31.5933219,22412.30259,
lidocaine,70940.0,234.34,0.889,1,1,32.12727744,24.0,34.1279637,24210.37745,
lidocaine,70940.0,234.34,0.889,1,1,32.12727744,24.0,40.8934142,29009.78801,
lidocaine,50592.0,234.34,0.889,1,1,32.12727744,24.0,20.6770156,10460.91572,
lidocaine,50592.0,234.34,0.889,1,1,32.12727744,24.0,16.2169387,8204.473607,
lidocaine,50592.0,234.34,0.889,1,1,32.12727744,24.0,18.9082354,9566.054457,
lidocaine,27024.0,234.34,0.889,1,1,32.12727744,24.0,47.967593,12962.76232,
lidocaine,27024.0,234.34,0.889,1,1,32.12727744,24.0,38.909355,10514.86409,
lidocaine,27024.0,234.34,0.889,1,1,32.12727744,24.0,41.6449883,11254.14165,
Rhodamine B,50.0,479.02,1.25,1,1,29.96883853,6.0,5.7050696,2.852534781,"Kochhar JS, Goh WJ, Chan SY, Kang L. A simple method of microneedle array fabrication for transdermal drug delivery. Drug Dev Ind Pharm. 2013;39:299-309."
Rhodamine B,50.0,479.02,1.25,1,1,29.96883853,6.0,6.3970482,3.19852408,
Rhodamine B,50.0,479.02,1.25,1,1,29.96883853,6.0,4.7132336,2.356616786,
Rhodamine B,50.0,479.02,1.25,1,1,29.96883853,16.0,9.4676039,4.73380197,
Rhodamine B,50.0,479.02,1.25,1,1,29.96883853,16.0,9.5060472,4.753023597,
Rhodamine B,50.0,479.02,1.25,1,1,29.96883853,22.0,12.779121,6.389560519,
Rhodamine B,50.0,479.02,1.25,1,1,29.96883853,22.0,11.5925059,5.796252944,
Rhodamine B,50.0,479.02,1.25,1,1,29.96883853,26.0,14.7766828,7.388341422,
