MW,LogP,TPSA,HBD,HBA,RotB,NumRings,NumAromaticRings,FractionCSP3,MolarRefractivity,NumHeteroatoms,canon_smiles,logKp_cm_h,n_measurements,sources
318.3690000000001,3.5796000000000032,83.83,2,5,0,2,1,0.4444444444444444,86.39210000000003,5,CC1CCCC(=O)CCCC=Cc2cc(O)cc(O)c2C(=O)O1,-3.63,1,SkinPiX
403.81800000000015,2.5727000000000007,112.93000000000002,3,5,5,3,2,0.25,100.73430000000006,8,CC1Cc2c(Cl)cc(C(=O)NC(Cc3ccccc3)C(=O)O)c(O)c2C(=O)O1,-3.09,1,SkinPiX
164.20399999999998,2.4339000000000004,29.46,1,2,2,1,1,0.2,49.366800000000026,2,CC=Cc1ccc(O)c(OC)c1,-1.56,1,SkinPiX
386.56100000000015,4.214800000000004,32.78,0,4,8,3,2,0.5,112.52300000000007,5,CCC(=O)N(c1ccccc1)C1(COC)CCN(CCc2cccs2)CC1,-1.81,1,HuskinDB
336.47900000000004,4.136700000000004,23.550000000000004,0,2,6,3,2,0.4090909090909091,103.82700000000007,3,CCC(=O)N(c1ccccc1)C1CCN(CCc2ccccc2)CC1,-3.7249999999999996,2,"HuskinDB,SkinPiX"
418.53000000000026,2.7425000000000006,100.90000000000002,2,6,4,4,0,0.7916666666666666,109.30660000000005,6,CCC(=O)OCC(=O)C1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3C(O)CC21C,-2.48,1,HuskinDB
184.195,0.15879999999999994,75.27000000000001,2,3,2,1,0,0.625,44.69640000000001,5,CCC1(CC)C(=O)NC(=O)NC1=O,-3.95,1,HuskinDB
226.27599999999998,1.1849999999999998,75.27000000000001,2,3,4,1,0,0.7272727272727273,58.47740000000003,5,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,-2.64,1,HuskinDB
232.23899999999995,0.7004,75.27000000000001,2,3,2,2,1,0.25,60.092400000000026,5,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,-3.34,1,HuskinDB
476.58500000000026,3.6368000000000027,100.90000000000002,2,6,6,4,0,0.7407407407407407,123.34260000000006,7,CCCCC(=O)OC1(C(=O)CO)C(C)CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC21C,-1.97,1,HuskinDB
212.249,0.9389999999999998,75.27000000000001,2,3,4,1,0,0.7,53.93040000000002,5,CCCCC1(CC)C(=O)NC(=O)NC1=O,-3.71,1,HuskinDB
341.3640000000001,-0.6263999999999996,133.91000000000003,4,7,7,2,1,0.6666666666666666,84.27810000000002,9,CCCCCC(=O)Nc1ccn(C2OC(CO)C(O)C2O)c(=O)n1,-2.18,1,HuskinDB
223.35999999999996,3.4513000000000016,29.1,1,1,8,0,0,0.6428571428571429,70.26970000000004,2,CCCCCC=CC=CC(=O)NCC(C)C,-3.96,1,SkinPiX
511.6640000000004,0.8521000000000056,162.14,4,6,14,1,0,0.8,135.71059999999997,11,CCCCCCC(N)C(=O)N(C)C(C)C(=O)NC(C)C(=O)N1CCCC1C(=O)NC(C(=O)O)C(C)C,-3.46,1,SkinPiX
539.7180000000002,1.6323000000000052,162.14,4,6,16,1,0,0.8148148148148148,144.94459999999992,11,CCCCCCCCC(N)C(=O)N(C)C(C)C(=O)NC(C)C(=O)N1CCCC1C(=O)NC(C(=O)O)C(C)C,-2.48,1,SkinPiX
567.7720000000003,2.412500000000006,162.14,4,6,18,1,0,0.8275862068965517,154.17859999999982,11,CCCCCCCCCCC(N)C(=O)N(C)C(C)C(=O)NC(C)C(=O)N1CCCC1C(=O)NC(C(=O)O)C(C)C,-2.54,1,SkinPiX
158.285,3.119400000000002,20.23,1,1,8,0,0,1.0,49.69580000000003,1,CCCCCCCCCCO,-1.14,1,HuskinDB
130.23100000000002,2.3392000000000013,20.23,1,1,6,0,0,1.0,40.461800000000004,1,CCCCCCCCO,-1.22,1,HuskinDB
102.17699999999999,1.559,20.23,1,1,4,0,0,1.0,31.22779999999998,1,CCCCCCO,-1.86,1,HuskinDB
